행정구역,세대수,총인구수(명)
상당구,89545,195915
낭성면,1179,2114
미원면,2730,4533
가덕면,2029,3674
남일면,3157,6411
문의면,1968,3520
중앙동,3272,6461
성안동,3651,6410
탑대성동,5260,11159
영운동,5142,9588
금천동,12471,28550
용담명암,4775,12395
용암1동,25118,56432
용암2동,18793,44668
서원구,91717,193439
남이면,4789,9853
현도면,1715,3134
사직1동,1997,3921
사직2동,4253,10711
사창동,8867,17173
모충동,10861,22114
산남동,10470,24519
분평동,11868,27211
수곡1동,7072,12565
수곡2동,7538,14664
성화개신축림,22287,47574
흥덕구,140728,303740
오송읍,23973,50105
강내면,5384,11328
옥산면,7588,17378
운천신봉,6662,13646
복대1동,21802,51836
복대2동,9629,17434
가경동,22446,53662
봉명1동,7241,15709
봉명2동,12864,23981
강서1동,15659,30686
강서2동,7480,17975
청원구,91048,195369
오창읍,30745,70504
내수읍,9494,19679
북이면,2351,4585
우암동,7851,13155
내덕1동,4189,7825
내덕2동,6733,15026
율량사천,22219,47026
오근장동,7466,17569
